time (s)	coil I (A)	last det (V)	int current (uC)
428747.369146	0.385762	540.136719	24.609375
428747.371147	0.385140	4.236536	0.670554
428748.409719	0.299705	156.640625	14.843750
428748.413718	0.386752	156.640625	14.843750
428748.415721	0.385662	4.242279	0.456225
428749.458267	0.295154	520.214844	27.929687
428749.460268	0.387423	520.214844	27.929687
428749.462268	0.385883	4.244716	0.452173
428750.474227	0.313672	158.300781	20.996094
428750.476227	0.387568	158.300781	20.996094
428750.478231	0.386004	4.246045	0.496083
428751.528246	0.385321	523.242187	27.343750
428751.530247	0.384530	4.229827	0.493546
428752.574704	0.391309	156.152344	3.710937
428752.576705	0.390248	4.292723	0.446367
428753.621230	0.387372	524.804687	27.539062
428753.623231	0.387292	4.260216	0.467327
428754.639293	0.388439	162.695312	34.472656
428754.641295	0.387482	4.262299	0.496390
428755.687309	0.389241	536.230469	25.976562
428755.689309	0.388092	4.269008	0.515854
428756.735841	0.387223	152.148437	-29.589844
428756.737842	0.386021	4.246232	0.460156
428757.781842	0.348521	516.015625	28.808594
428757.783844	0.387815	516.015625	28.808594
428757.785844	0.386525	4.251770	0.454007
428758.797847	0.362222	160.253906	8.984375
428758.799851	0.387462	160.253906	8.984375
428758.801850	0.386132	4.247454	0.505123
428759.845873	0.312923	537.109375	24.804687
428759.847874	0.387992	537.109375	24.804687
428759.849875	0.386487	4.251354	0.509349
428760.894412	2.069849	154.296875	-32.812500
428760.896411	0.388078	154.296875	-32.812500
428760.898412	0.386598	4.252577	0.486771
428761.944434	0.388453	516.992187	27.539062
428761.946436	0.387806	4.265862	0.482552
428762.992523	0.380704	154.003906	-41.601562
428762.994525	0.386889	154.003906	-41.601562
428762.998524	0.384782	4.232601	0.444920
428764.043476	0.387989	503.027344	29.296875
428764.045477	0.386819	4.255014	0.429726
428765.056020	0.315798	156.445312	-34.375000
428765.058022	0.387836	156.445312	-34.375000
428765.060022	0.386328	4.249608	0.497739
428766.108040	0.387576	504.785156	27.734375
428766.110041	0.386449	4.250937	0.485997
428767.154041	0.380195	150.292969	-75.781250
428767.156044	0.386883	150.292969	-75.781250
428767.160042	0.384788	4.232672	0.454881
428768.202124	0.353304	499.511719	28.808594
428768.204126	0.387351	499.511719	28.808594
428768.206127	0.385940	4.245336	0.445347
428769.218133	0.366887	155.566406	-49.121094
428769.220136	0.387013	155.566406	-49.121094
428769.222135	0.385706	4.242766	0.515579
428770.268182	0.387660	523.242187	24.804687
428770.270183	0.386195	4.248146	0.503557
428771.316707	0.388669	152.441406	-68.164062
428771.318709	0.387231	4.259542	0.759142
428772.364687	0.387756	490.625000	28.320312
428772.366688	0.386795	4.254748	0.459462
428773.380733	0.388182	151.660156	-75.781250
428773.382736	0.386778	4.254562	0.599015
428774.428747	0.385514	509.082031	25.976562
428774.430748	0.387508	4.262591	0.514234
428775.476785	0.364793	146.972656	-100.878906
428775.478786	0.386926	146.972656	-100.878906
428775.482784	0.384757	4.232327	0.470125
428776.528827	0.386312	505.273437	26.171875
428776.530828	0.385310	4.238406	0.478416
428777.541345	0.374059	153.808594	-67.089844
428777.543348	0.387014	153.808594	-67.089844
428777.545349	0.385663	4.242288	0.524824
428778.593354	0.386637	520.898437	22.851562
428778.595358	0.385744	4.243183	0.523806
428779.639887	0.388481	148.632812	-95.214844
428779.641888	0.387035	4.257389	0.830727
428780.688838	0.387325	505.371094	25.585937
428780.690841	0.385964	4.245602	0.484659
428781.703429	0.387420	151.660156	-84.765625
