time (s)	energy (uJ)	charge (mC)	voltage (mV)	crossing#mod 255
429960.531386	19.663105	0.006081	3.233695	70
429961.579457	22.308020	0.006054	3.684770	71
429962.595459	22.190063	0.006074	3.653072	72
429963.643583	25.893293	0.006053	4.277676	73
429964.641576	27.046583	0.006075	4.452474	74
429965.742351	24.309109	0.006059	4.012302	75
429966.756569	23.491465	0.006059	3.877398	76
429967.838431	20.607098	0.006074	3.392865	77
429968.822375	27.433950	0.006046	4.537692	78
429969.903551	23.115801	0.006054	3.818252	79
429970.918948	23.995783	0.006067	3.955108	80
429972.001004	20.583195	0.006059	3.397392	81
429973.015266	22.871773	0.006045	3.783826	82
429974.065145	21.932682	0.006056	3.621538	83
429975.081156	27.218975	0.006054	4.496203	84
429976.133275	25.507420	0.006047	4.218276	85
429977.199082	19.778048	0.006070	3.258182	86
429978.226204	23.397072	0.006087	3.843759	87
429979.274293	20.661163	0.006070	3.403947	88
429980.293444	27.793705	0.006052	4.592774	89
429981.340054	23.032959	0.006056	3.803578	90
429982.387273	26.286404	0.006069	4.330914	91
429983.404168	25.268866	0.006058	4.171128	92
429984.485515	23.183596	0.006054	3.829299	93
429985.502316	22.980581	0.006072	3.784378	94
429986.582284	20.537867	0.006058	3.390208	95
429987.565489	27.123150	0.006040	4.490445	96
429988.646862	23.107931	0.006056	3.815550	97
429989.662865	24.575565	0.006065	4.051723	98
429990.742990	20.659746	0.006054	3.412568	99
429991.726986	28.171900	0.006042	4.662534	100
429992.811183	23.021093	0.006055	3.801813	101
429993.823276	25.964615	0.006074	4.274519	102
429994.905212	20.724480	0.006067	3.415975	103
429995.888141	29.681229	0.006067	4.892062	104
429996.969141	24.005898	0.006075	3.951638	105
429997.985133	26.107718	0.006065	4.304780	106
429999.067150	21.267603	0.006059	3.510127	107
430000.085218	21.907471	0.006061	3.614413	108
430001.133201	25.104877	0.006064	4.139783	109
430002.151787	25.269419	0.006048	4.178163	110
430003.227800	21.020287	0.006067	3.464732	111
430004.245882	21.653313	0.006081	3.560838	112
430005.292356	26.911682	0.006072	4.432355	113
430006.308902	26.324457	0.006060	4.344269	114
430007.389968	22.572355	0.006041	3.736785	115
430008.407042	23.969011	0.006080	3.942058	116
430009.454920	25.683994	0.006058	4.240013	117
430010.503030	21.664055	0.006058	3.576014	118
430011.555093	19.960777	0.006052	3.298460	119
430012.567059	26.042414	0.006066	4.293517	120
430013.615095	24.820549	0.006047	4.104390	121
430014.664045	23.017477	0.006071	3.791140	122
430015.712957	21.348293	0.006068	3.518118	123
430016.729341	25.883144	0.006058	4.272209	124
430017.777421	25.633316	0.006043	4.241514	125
430018.825470	22.409439	0.006066	3.694335	126
430019.875195	33.171432	0.006058	5.475988	127
430020.892492	24.991791	0.006063	4.122153	128
430021.952709	24.068913	0.006061	3.971187	129
430022.988162	20.740511	0.006054	3.426145	130
430024.036764	24.898689	0.006051	4.114495	131
430025.051921	25.423828	0.006046	4.204976	132
430026.133900	20.817045	0.006058	3.436136	133
430027.149610	20.716192	0.006054	3.421877	134
430028.200173	24.978952	0.006057	4.124044	135
430029.212750	25.837952	0.006074	4.253580	136
430030.294731	21.845268	0.006059	3.605494	137
430031.310765	21.222281	0.006056	3.504292	138
430032.358869	25.748766	0.006061	4.248145	139
430033.376943	25.766285	0.006072	4.243770	140
430034.458920	20.829281	0.006062	3.436105	141
430035.471083	22.381887	0.006051	3.699077	142
430036.520916	27.125162	0.006060	4.476290	143
430037.536909	26.217707	0.006056	4.329045	144
430038.618924	22.572443	0.006059	3.725632	145
430039.637215	20.988604	0.006049	3.469860	146
430040.681210	27.321657	0.006054	4.512999	147
430041.697636	27.494053	0.006059	4.537902	148
430042.779585	23.015368	0.006056	3.800266	149
430043.794292	23.078024	0.006078	3.797094	150
430044.844122	27.003090	0.006049	4.464312	151
430045.860101	28.534580	0.006059	4.709662	152
430046.940223	21.947861	0.006081	3.609103	153
430047.956258	24.553915	0.006070	4.045022	154
430049.005495	26.311005	0.006046	4.351946	155
430050.054522	20.666359	0.006055	3.413106	156
430051.103104	21.286058	0.006051	3.517628	157
430052.117975	26.172802	0.006071	4.311410	158
430053.182695	21.211601	0.006057	3.502093	159
430054.216934	22.790407	0.006065	3.757678	160
430055.263472	21.111212	0.006069	3.478642	161
430056.279985	27.494389	0.006043	4.549990	162
430057.328034	26.636347	0.006066	4.391224	163
430058.376568	23.279295	0.006065	3.838078	164
430059.425067	22.249985	0.006059	3.672356	165
430060.444092	25.537701	0.006054	4.218523	166
430061.490036	27.742918	0.006055	4.581591	167
430062.538075	22.110233	0.006065	3.645675	168
430063.588537	24.368279	0.006084	4.005423	169
430064.603075	25.348228	0.006052	4.188389	170
430065.688019	19.916351	0.006043	3.296032	171
430066.700165	20.450779	0.006061	3.374356	172
430067.749141	25.246292	0.006054	4.170502	173
430068.764231	25.926394	0.006067	4.273483	174
430069.846224	20.641298	0.006065	3.403313	175
430070.862210	21.039310	0.006054	3.474990	176
430071.912398	25.530588	0.006059	4.213499	177
430072.928360	25.802376	0.006059	4.258198	178
430074.006338	21.385500	0.006037	3.542139	179
430075.022308	21.814499	0.006076	3.590563	180
430076.074265	25.878859	0.006060	4.270545	181
430077.088088	27.121206	0.006055	4.479167	182
430078.168271	21.915363	0.006072	3.609440	183
430079.186817	20.849760	0.006057	3.442029	184
430080.232816	27.129112	0.006073	4.466966	185
430081.249309	27.292328	0.006044	4.515790	186
430082.329526	21.841444	0.006054	3.607543	187
430083.347463	22.636253	0.006068	3.730435	188
430084.394415	27.295979	0.006071	4.496442	189
430085.446478	18.537315	0.006051	3.063416	190
430086.491450	21.233360	0.006038	3.516661	191
430087.507071	24.518385	0.006065	4.042888	192
430088.556918	24.911459	0.006054	4.114611	193
430089.604009	21.125137	0.006058	3.487047	194
430090.653922	19.375164	0.006055	3.199894	195
430091.668590	26.956627	0.006076	4.436894	196
430092.720584	23.694672	0.006056	3.912484	197
430093.766528	21.693466	0.006054	3.583380	198
430094.816526	19.785196	0.006064	3.262579	199
430095.831106	26.159271	0.006060	4.316706	200
430096.881218	25.453253	0.006058	4.201534	201
430097.927712	21.086388	0.006066	3.475876	202
430099.013137	11.157385	0.006049	1.844509	203
430099.993759	25.827841	0.006069	4.255846	204
430101.073701	17.185841	0.006059	2.836371	205
430102.089736	20.659840	0.006054	3.412529	206
430103.140239	21.970507	0.006064	3.622858	207
430104.154513	25.229839	0.006051	4.169633	208
430105.235332	18.094074	0.006056	2.987809	209
430106.251358	19.927414	0.006055	3.291211	210
430107.301419	23.434799	0.006063	3.865445	211
430108.318189	24.681236	0.006044	4.083531	212
430109.397348	18.904531	0.006053	3.123164	213
430110.414078	19.368202	0.006066	3.192721	214
430111.461488	24.466503	0.006037	4.052454	215
430112.478835	25.420490	0.006081	4.180087	216
430113.559139	18.927525	0.006069	3.118620	217
430114.573191	20.297304	0.006050	3.355161	218
430115.623093	24.770992	0.006047	4.096447	219
430116.638234	27.175610	0.006061	4.483631	220
430117.718818	19.806747	0.006056	3.270621	221
430118.734180	21.340816	0.006050	3.527540	222
430119.784245	25.327633	0.006055	4.182750	223
430120.799344	27.311377	0.006067	4.501410	224
430121.885344	18.689627	0.006051	3.088569	225
430122.899920	20.892025	0.006053	3.451365	226
430123.945883	24.919979	0.006059	4.112936	227
430124.960530	28.164881	0.006044	4.660334	228
430126.042496	19.311615	0.006064	3.184510	229
430127.058515	22.759287	0.006066	3.752042	230
430128.108593	24.076752	0.006067	3.968291	231
430129.155130	18.859234	0.006071	3.106638	232
430130.205002	18.829119	0.006054	3.110154	233
430131.219241	23.635330	0.006040	3.912832	234
430132.271191	22.734930	0.006061	3.751255	235
430133.319712	19.021160	0.006064	3.136994	236
430134.371682	16.982676	0.006050	2.806831	237
430135.382162	24.888178	0.006059	4.107465	238
430136.432701	22.332766	0.006061	3.684494	239
430137.479148	20.846157	0.006058	3.441364	240
430138.527614	18.185333	0.006060	3.000871	241
430139.542631	25.841934	0.006064	4.261230	242
430140.594677	23.224134	0.006056	3.835080	243
430141.641047	19.499077	0.006053	3.221217	244
430142.689144	19.511906	0.006062	3.218746	245
430143.707228	24.132999	0.006058	3.983666	246
430144.753210	26.032917	0.006067	4.290816	247
430145.803269	18.846893	0.006071	3.104192	248
430146.851033	21.189985	0.006043	3.506713	249
430147.867016	23.436081	0.006053	3.871632	250
430148.947346	17.029608	0.006068	2.806423	251
430149.963365	18.381819	0.006059	3.033614	252
430151.014629	21.601782	0.006045	3.573310	253
430152.029865	23.316792	0.006062	3.846159	254
430153.112638	16.834009	0.006043	2.785834	255
